id,"organ","sentence",frequency
4804,"щитовидна жлеза","ЩИТОВИДНА ЖЛЕЗА-нормални по размери и плътност",6
4805,"гърло","ГЪРЛО И ТОНЗИЛИ-спокоини",7
4806,"бял дроб","ГР.КОШ И БЯЛ ДРОБ-везикуларно дишане без хрипова находка",6
4807,"бял дроб","БЯЛ ДРОБ-ИЗОСТРЕНО ВЕЗ.ДИШАНЕ С ЕДИНИЧНИ СУХИ СВИРКАЩИ ХРИПОВЕ ДВУСТРАННО",1
4808,"сърце","СЪРЦЕ-РИТМИЧНА СЬРД.ДЕЙНОСТ ТОНОВЕ ГЛУХОВАТИ",1
4809,"език","Език-влазен , необложен",6
4810,"бял дроб","Б.дроб.-чисто везикуларно дишане",6
4811,"температура","ТЕМПЕРАТУРА-361",1
4812,"кожа","КОЖА-НЕИЗПОТЕНА",1
4813,"бял дроб","БЯЛ ДРОБ-ВЕЗ.ДИШАНЕ БЕЗ ХРИПОВЕ",4
4814,"сърце","СЪРЦЕ-РИТМИЧНА СЬРД.ДЕЙНОСТ ТОНОВЕ ЯСНИ; ПУЛС-72",1
4815,"сърце","СЪРЦЕ-РИТМИЧНА СЬРД.ДЕЙНОСТ ТОНОВЕ ЯСНИ; ПУЛС-73",3
4816,"сърце","СЪРЦЕ-РИТМИЧНА СЬРД.ДЕЙНОСТ ТОНОВЕ ЯСНИ; ПУЛС-76",3
4817,"бъбрек","Сукусио рен.-отр.двустр",50
4818,"крайници","Крайници-арторзни промени",11
4819,"крайници","Крайници-артрозни промени.",21
4820,"общо състояние","Увредно общо състояние",1
4821,"кръвно налягане","RR 135/80.",41
4822,"бял дроб","Пулмо-везикуларно дишане без добавени хрипове",2
4823,"крайници","Крайници-паркинсонов тремор",15
4824,"крайници","Крайници-палк.тремор",2
4825,"крайници","Крайници-периферни отоци.",3
4826,"крайници","Крайници-леки претибиални отоци",2
4827,"крайници","Крайници-варици",4
4828,"крайници","Крайници-варици,трофини промени на кожата",1
4829,"крайници","Крайници-варици с трофични изменения,отоци",1
4830,"крайници","Крайници-варици,леки претибиални отоци",1
4831,"око","Очен статус-липса на екзофталм .",3
4832,"млечна жлеза","Мл.жл.-б.о,с обучение",3
4833,"крайници","Крайници-тежки артрозни промени",2
4834,"корем","Корем - мек, без органомегалия.",5
4835,"гърло","Гърло-нехиперемирано",44
4836,"млечна жлеза","Мл.жлези- палпира се нормална структура",20
4837,"око","Очен статус- зрителна острота и цветоусещане- без промяна",354
4838,"корем","Корем - мек, спокоен, без органомегалия",351
4839,"млечна жлеза","мл.жлези - двустранна мастектомия",1
4840,"език","ЕЗИК-влажен,обложен",4
4841,"гърло","ГЪРЛО-тонзилектомиран",12
4842,"бял дроб","pulmo -  везикуларно дишане",7
4843,"черен дроб","Черен дроб и слезка - нормални размери",16
4844,"бял дроб","; БЯЛ ДРОБ-НОРМАЛНО ВЕЗИКУЛАРНО ДИШАНЕ БЕЗ ПРИБАВЕНИ ХРИПОВЕ",33
4845,"специален статус","СПЕЦ.СТАТУС-ЛЕСНО ЗАМОРЯВАНЕ",9
4846,"бял дроб","БЯЛ ДРОБ-НОРМАЛНО ВЕЗИКУЛАРНО ДИШАНЕ БЕЗ ПРИБАВЕНИ ХРИПОВЕ",16
4847,"кръвно налягане","RR-175/95",4
4848,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-ОТОЦИ ПО КРАКАТА НЯМА",4
4849,"специален статус","СПЕЦ.СТАТУС-1-2 СМ ПОД РЕБРЕНА ДЪГА",13
4850,"специален статус","; СПЕЦ.СТАТУС-ИЗОСТРЕНО ВЕЗИКУЛАРНО ДИШАНЕ С УДЪЛЖЕН ИЗДЪХ",1
4851,"специален статус","СПЕЦ.СТАТУС-ИЗОСТРЕНО ВЕЗИКУЛАРНО ДИШАНЕ  С УДЪЛЖЕН ИЗДЪХ  СУХИ СВИРКАЩИ ХРИПОВЕ ДРЕБНИ  И СРЕДНИ ВЛАЖНИ ХРИПОВЕ В ДВЕТЕ БЕЛОДРОБНИ ОСНОВИ  ИМА ОТОЦИ ПО ДОЛНИ КРАЙНИЦИ",1
4852,"специален статус","СПЕЦ.СТАТУС-КОЖА ИЕ ВИДИМИ ЛИГАВИЦИ БЛЕДИ",1
4853,"кожа","КОЖА-ХИПЕРЕМИРАНА",5
4854,"специален статус","СПЕЦ.СТАТУС-ОТОЦИ ПО КРАКАТА НЯМА",3
4855,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-НЕ СЕ ПАЛПИРА УВЕЛИЧЕН",18
4856,"специален статус","; СПЕЦ.СТАТУС-ОПИПВА СЕ УВЕЛИЧЕН ЛИМФЕН ВЪЗЕЛ В ДЯСНА ИНГВИНАЛНА ОБЛАСТ",1
4857,"бял дроб","; СПЕЦ.СТАТУС-РЕНТГЕНОЛОГИЧНО КАРЦИНОМ НА ДЕСНИЯ БЯЛ ДРОБ",5
4858,"гърло","; ГЪРЛО-СИЛНО ХИПЕРЕМИРАНИ",1
4859,"бял дроб","БЯЛ ДРОБ-нормално везикуларно дишане без добавени хрипове",1
4860,"температура","Т-36,8",4
4861,"опорно-двигателен апарат","ОДА-с болки по костите и ставите",1
4862,"специален статус","; СПЕЦ.СТАТУС-БРАДАВИЧНО ОБРАЗУВАНИЕ В ОБЛАСТТА НА ДЯСНА ПРЕДМИШНИЦА",8
